crash,       frame_level, BV_reproduced, control_reproduced, odds_ratio, p_value
MATH-97b,              1,             3,                  0,     7.7636, 0.23729
TIME-20b,              1,             2,                  0,     5.3509, 0.49153
ES-21457,              1,             1,                  0,     3.1017, 1.00000
ES-22119,              2,             1,                  0,     3.1017, 1.00000
ES-14457,              3,            11,                  6,     2.2229, 0.25157
CHART-13b,             2,            30,                 30,     1.0000, 1.00000
LANG-2b,               1,            30,                 30,     1.0000, 1.00000
LANG-54b,              1,            30,                 30,     1.0000, 1.00000
LANG-5b,               1,            30,                 30,     1.0000, 1.00000
MATH-90b,              1,            30,                 30,     1.0000, 1.00000
MATH-95b,              4,            30,                 30,     1.0000, 1.00000
TIME-8b,               1,            30,                 30,     1.0000, 1.00000
XWIKI-12667,           2,            30,                 30,     1.0000, 1.00000
XWIKI-13196,           2,            30,                 30,     1.0000, 1.00000
XWIKI-13546,           2,            30,                 30,     1.0000, 1.00000
XWIKI-13942,           5,             5,                  7,     0.6758, 0.74805
ES-21974,              5,            18,                 21,     0.6540, 0.58888