crash,     frame_level, IA_reproduced, IA_reached_location, control_reproduced, control_reached_location, odds_ratio, p_value
ES-23324,            1,             1,                   1,                  0,                        2,    15.0000, 0.33333
MATH-81b,            3,             9,                  19,                  4,                       21,     3.5185, 0.09146
MATH-101b,           1,            30,                  30,                 29,                       30,     3.1017, 1.00000
LANG-12b,            2,            29,                  30,                 27,                       30,     2.5030, 0.61195
MATH-81b,            5,            12,                  23,                  8,                       24,     2.1100, 0.24431
MATH-81b,            4,            11,                  21,                  7,                       18,     1.6794, 0.52333
MATH-81b,            6,            11,                  25,                 10,                       25,     1.1708, 1.00000
MATH-81b,            1,            10,                  20,                 11,                       23,     1.0870, 1.00000
LANG-27b,            1,            30,                  30,                 30,                       30,     1.0000, 1.00000
LANG-44b,            1,            30,                  30,                 30,                       30,     1.0000, 1.00000
LANG-45b,            1,            30,                  30,                 30,                       30,     1.0000, 1.00000
LANG-51b,            1,            30,                  30,                 30,                       30,     1.0000, 1.00000
LANG-9b,             4,            30,                  30,                 30,                       30,     1.0000, 1.00000
LANG-9b,             5,            30,                  30,                 30,                       30,     1.0000, 1.00000
LANG-9b,             6,             1,                  30,                  1,                       30,     1.0000, 1.00000
MATH-98b,            1,            30,                  30,                 30,                       30,     1.0000, 1.00000
MATH-81b,            2,             7,                  21,                  9,                       24,     0.8439, 1.00000
LANG-19b,            1,            19,                  30,                 26,                       30,     0.2879, 0.07162
LANG-19b,            3,            12,                  30,                 24,                       30,     0.1793, 0.00333
LANG-19b,            2,             4,                  29,                 16,                       30,     0.1551, 0.00215